caseTitle,state,county,year,practiceArea,injuryType,resultType,amount,description,source
,Texas,,2026,Car Accident,Wrongful Death,verdict,2000000,$2.0 million jury verdict in a car accident case in Texas . The plaintiff sustained wrongful death and was awarded damages.,News
Estate of woman killed by impaired driver,North Carolina,NC (statewide list),2026,Car Accident,Wrongful Death,settlement,2000000,Settlement for the estate of a North Carolina woman killed by an impaired driver; motor vehicle negligence claim with blunt force trauma causing death.,NC Lawyers Weekly
,New Jersey,,2026,Car Accident,Other,settlement,1850000,Settlement for Injuries Suffered in a Head on Motor Vehicle Collision.,News
,New Jersey,,2026,Car Accident,Other,settlement,1765000,Settlement; Motor Vehicle Accident Involving Commercial Vehicle.,News
,New Jersey,,2026,Car Accident,Other,settlement,1650000,$1.6 million settlement in a car accident case in New Jersey . The plaintiff sustained personal injury and was awarded damages.,News
,New Jersey,,2026,Car Accident,Other,settlement,1510000,$1.5 million settlement in a car accident case in New Jersey . The plaintiff sustained personal injury and was awarded damages.,News
,New Jersey,,2026,Car Accident,Other,verdict,1392000,$1.4 million jury verdict in a car accident case in New Jersey . The plaintiff sustained personal injury and was awarded damages.,News
,Alabama,Mobile,2026,Car Accident,Other,verdict,1321674,"Alabama jury verdict of $1,321,674 in Mobile County, reported as Auto Negligence.",Alabama Jury Verdict Reporter
Robinson v. City of Toledo,Ohio,Lucas,2026,Car Accident,Traumatic Brain Injury,verdict,1272926,"Lucas County jury verdict for a woman who suffered a mild traumatic brain injury, PTSD, and spinal injuries when a chain collision started by a City of Toledo dump truck struck her car.",PR Newswire
,Louisiana,East Baton Rouge,2026,Car Accident,Other,verdict,1194845,"Louisiana jury verdict of $1,194,845 in East Baton Rouge Parish, reported as Auto Negligence.",Louisiana Jury Verdict Reporter
Gilmer v. Travelers,Mississippi,Hinds,2026,Car Accident,Herniated Disc,verdict,1160823,"Mississippi jury verdict of $1,160,823 in Hinds County (2026).",Mississippi Jury Verdict Reporter
,North Carolina,,2026,Car Accident,Other,settlement,1030000,Settlement for client who suffered serious injuries after being struck from behind by defendant (2026).,DeMayo Law Offices
,Louisiana,Caddo,2026,Car Accident,Other,verdict,990757,"Louisiana jury verdict of $990,757 in Caddo Parish, reported as Auto Negligence.",Louisiana Jury Verdict Reporter
Hernandez v. Acuity Insurance,Kentucky,Spencer,2026,Car Accident,Traumatic Brain Injury,verdict,953437,"Kentucky jury verdict of $953,437 in Spencer County (2026). Juan Hernandez, then age 47, was driving his late model Dodge pick-up truck on 5-30-22. A Mexican native who has been in the states for a quarter century (married with kids) he operates his own construction business. He was coming home from work and traveled on Lily Pike in Spencer County. Shawn Bruce.",Kentucky Trial Court Review
,Illinois,,2026,Car Accident,Other,settlement,937001,"Nursing Home Neglect $937,001 This nursing home resident developed a large wound due to the negligence of the staff. He was regularly left to sit in his own bodily waste, which resulted in the sore developing.",News
,New York,,2026,Car Accident,Wrongful Death,verdict,900000,"$900,000 jury verdict in a car accident case in New York . The plaintiff sustained wrongful death and was awarded damages.",News
,Indiana,Floyd,2026,Car Accident,Other,verdict,825000,"Indiana jury verdict of $825,000 in Floyd County, reported as Underinsured Motorist.",Indiana Jury Verdict Reporter
,Mississippi,Harrison,2026,Car Accident,Other,verdict,822513,"Mississippi jury verdict of $822,513 in Harrison County, reported as Auto Negligence.",Mississippi Jury Verdict Reporter
,Texas,,2026,Car Accident,Other,verdict,766159.78,"$766,159.78 jury verdict in a car accident case in Texas . The plaintiff sustained personal injury and was awarded damages.",News
,Illinois,,2026,Car Accident,Burns,settlement,737500,"Cook County, Illinois. Automobile accident. Settlement for a client who suffered a shoulder injury with a rotator cuff tear as a result of a rear-end collision with heavy impact. The insurance carrier’s original offer to our client was $190,000. The client had initially retained another law firm, filed a lawsuit, and presented their case before a mediator. A “final” offer of set.",News
,Indiana,Monroe,2026,Car Accident,Other,verdict,716806,"Indiana jury verdict of $716,806 in Monroe County, reported as Auto Negligence.",Indiana Jury Verdict Reporter
,Illinois,,2026,Car Accident,Back Injury,verdict,582841,"$582,840.68 jury verdict for retired soccer player with back and neck injuries from car crash requiring spinal injections.",News
,Alabama,Lee,2026,Car Accident,Other,verdict,500000,"Alabama jury verdict of $500,000 in Lee County, reported as Auto Negligence.",Alabama Jury Verdict Reporter
,Illinois,,2026,Car Accident,Traumatic Brain Injury,settlement,400000,"$400,000. Kane County, Illinois. Motor vehicle accident.",News
Stuart v. Presley,Virginia,Henrico,2026,Car Accident,Shoulder Injury,verdict,373922,"A minor sideswipe collision tore the plaintiff's rotator cuff and required surgery. The insurer's top pretrial offer was $20,000 and the Henrico County jury returned $373,922.",News
,Illinois,,2026,Car Accident,Wrongful Death,settlement,341000,"$341,000 settlement in a car accident case in Illinois . The plaintiff sustained wrongful death and was awarded damages.",News
,Louisiana,Terrebonne,2026,Car Accident,Other,verdict,339196,"Louisiana jury verdict of $339,196 in Terrebonne Parish, reported as Auto Negligence.",Louisiana Jury Verdict Reporter
,Louisiana,East Baton Rouge,2026,Car Accident,Other,verdict,331149,"Louisiana jury verdict of $331,149 in East Baton Rouge Parish, reported as Auto Negligence.",Louisiana Jury Verdict Reporter
,Illinois,,2026,Car Accident,Burns,settlement,245000,"Car Accident settlement of $245,000 in Illinois.",News
,Alabama,Baldwin,2026,Car Accident,Other,verdict,175000,"Alabama jury verdict of $175,000 in Baldwin County, reported as Auto Negligence.",Alabama Jury Verdict Reporter
,Texas,,2026,Car Accident,Other,verdict,168803.94,"$168,803.94 jury verdict in a car accident case in Texas . The plaintiff sustained personal injury and was awarded damages.",News
,Alabama,Hale,2026,Car Accident,Other,verdict,150000,"Alabama jury verdict of $150,000 in Hale County, reported as Auto Negligence.",Alabama Jury Verdict Reporter
Conway v. Brown,Tennessee,Shelby,2026,Car Accident,Broken Bones,verdict,148148,"Tennessee jury verdict of $148,148 in Shelby County (2026).",Tennessee Jury Verdict Reporter
,Louisiana,Jefferson,2026,Car Accident,Other,verdict,137234,"Louisiana jury verdict of $137,234 in Jefferson Parish, reported as Auto Negligence.",Louisiana Jury Verdict Reporter
,Illinois,,2026,Car Accident,Other,verdict,135000,"$135,000 jury verdict in a car accident case in Illinois . The plaintiff sustained personal injury and was awarded damages.",News
,Tennessee,Davidson,2026,Car Accident,Other,verdict,117500,"Tennessee jury verdict of $117,500 in Davidson County, reported as Auto Negligence.",Tennessee Jury Verdict Reporter
,Illinois,,2026,Car Accident,Shoulder Injury,settlement,100000,"Kane County, Illinois. Motor vehicle accident. Settlement was reached by the Illinois personal injury law firm, John J. Malm & Associates, on behalf of a client who was injured in a rear end automobile accident. The Aurora, Illinois man suffered shoulder injuries, including a posterior labral tear, as a result of a rear-end collision. The client underwent a shoulder arthroscopy and Bankh.",News
,New York,,2026,Car Accident,Back Injury,settlement,90000,A man who slipped on ice in the parking lot of his office building and fractured his knee was awarded.,News
,New York,,2026,Car Accident,Back Injury,settlement,88000,"A women who was hit by a car while walking across the street, causing a herniated disc in her lower.",News
,Mississippi,Harrison,2026,Car Accident,Other,verdict,87847,"Mississippi jury verdict of $87,847 in Harrison County, reported as Auto Negligence.",Mississippi Jury Verdict Reporter
,Tennessee,Davidson,2026,Car Accident,Other,verdict,73859,"Tennessee jury verdict of $73,859 in Davidson County, reported as Auto Negligence.",Tennessee Jury Verdict Reporter
,Indiana,Lake,2026,Car Accident,Other,verdict,67000,"Indiana jury verdict of $67,000 in Lake County, reported as Auto Negligence.",Indiana Jury Verdict Reporter
,Alabama,Madison,2026,Car Accident,Other,verdict,60000,"Alabama jury verdict of $60,000 in Madison County, reported as Auto Negligence.",Alabama Jury Verdict Reporter
,South Carolina,Charleston,2026,Car Accident,Other,verdict,60000,"South Carolina jury verdict of $60,000 in Charleston County, reported as Auto Negligence.",South Carolina Jury Verdict Reporter
,Louisiana,Jefferson,2026,Car Accident,Other,verdict,57500,"Louisiana jury verdict of $57,500 in Jefferson Parish, reported as Underinsured Motorist.",Louisiana Jury Verdict Reporter
,Indiana,Delaware,2026,Car Accident,Other,verdict,50000,"Indiana jury verdict of $50,000 in Delaware County, reported as Auto Negligence.",Indiana Jury Verdict Reporter
,Alabama,Etowah,2026,Car Accident,Other,verdict,45000,"Alabama jury verdict of $45,000 in Etowah County, reported as Auto Negligence.",Alabama Jury Verdict Reporter
,Indiana,Lake,2026,Car Accident,Other,verdict,40000,"Indiana jury verdict of $40,000 in Lake County, reported as Auto Negligence.",Indiana Jury Verdict Reporter
,Louisiana,Iberia,2026,Car Accident,Other,verdict,40000,"Louisiana jury verdict of $40,000 in Iberia Parish, reported as Auto Negligence.",Louisiana Jury Verdict Reporter
,Indiana,Hendricks,2026,Car Accident,Other,verdict,30000,"Indiana jury verdict of $30,000 in Hendricks County, reported as Auto Negligence.",Indiana Jury Verdict Reporter
Dodson v. Simpson,South Carolina,Pickens,2026,Car Accident,Back Injury,verdict,24000,"South Carolina jury verdict of $24,000 in Pickens County (2026).",South Carolina Jury Verdict Reporter
,Indiana,Hamilton,2026,Car Accident,Other,verdict,22748,"Indiana jury verdict of $22,748 in Hamilton County, reported as Auto Negligence.",Indiana Jury Verdict Reporter
Mollette v. Callahan,Kentucky,Rowan,2026,Car Accident,Herniated Disc,verdict,21518,"Kentucky jury verdict of $21,518 in Rowan County (2026). David Mollette, age 31 and a prison guard, traveled on U.S. 60 in Morehead on 8-17-23. He was stopped waiting to make a left turn in a 1999 Toyota Camry. A moment later he was rear-ended by Edward Callahan. Callahan was driving a Chevrolet pick-up truck. This was no fender- bender. It was a hard hit that resulted in.",Kentucky Trial Court Review
,Indiana,Marion,2026,Car Accident,Other,verdict,20000,"Indiana jury verdict of $20,000 in Marion County, reported as Auto Negligence.",Indiana Jury Verdict Reporter
,Tennessee,Shelby,2026,Car Accident,Other,verdict,16416,"Tennessee jury verdict of $16,416 in Shelby County, reported as Auto Negligence.",Tennessee Jury Verdict Reporter
,Tennessee,Shelby,2026,Car Accident,Other,verdict,13450,"Tennessee jury verdict of $13,450 in Shelby County, reported as Auto Negligence.",Tennessee Jury Verdict Reporter
,Tennessee,Shelby,2026,Car Accident,Other,verdict,10961,"Tennessee jury verdict of $10,961 in Shelby County, reported as Auto Negligence.",Tennessee Jury Verdict Reporter
,Indiana,Marion,2026,Car Accident,Other,verdict,7500,"Indiana jury verdict of $7,500 in Marion County, reported as Auto Negligence.",Indiana Jury Verdict Reporter
,South Carolina,Anderson,2026,Car Accident,Other,verdict,900,"South Carolina jury verdict of $900 in Anderson County, reported as Auto Negligence.",South Carolina Jury Verdict Reporter
Blas Mendez Jr. v. Bar Owner,Texas,Webb,2025,Car Accident,Traumatic Brain Injury,verdict,831000000,Special education specialist catastrophically injured in motorcycle crash caused by intoxicated 18-year-old overserved at a bar. Jury found bar owner and establishment 90% liable.,News
"Carpenter, et al. v. Wings 'N More, et al.",Texas,,2025,Car Accident,Traumatic Brain Injury,verdict,112917470,"Texas verdict of $112,917,470 in 2025. Case type: Car Accidents, Dram Shop Liability, Motor Vehicle Accidents, Personal Injury. Reported as Carpenter, et al. v. Wings 'N More, et al.. Listed by TopVerdict.",TopVerdict
"Marquez, et al. v. Wings LLC., et al.",Texas,,2025,Car Accident,Traumatic Brain Injury,verdict,112917470,"Texas verdict of $112,917,470 in 2025. Case type: Car Accidents, Dram Shop Liability, Motor Vehicle Accidents, Brain Injury. Reported as Marquez, et al. v. Wings LLC., et al.. Listed by TopVerdict.",TopVerdict
"Adam, et al. v. California Department of Corrections, et al.",California,,2025,Car Accident,Wrongful Death,verdict,110800000,"California verdict of $110,800,000 in 2025. Case type: Car Accidents, Government Negligence, Motor Vehicle Accidents, Personal Injury. Reported as Adam, et al. v. California Department of Corrections, et al.. Listed by TopVerdict.",TopVerdict
"Moreno, et al. v. Honda Dev. & Mfg. of America LLC",Texas,,2025,Car Accident,Wrongful Death,verdict,61000000,"Texas verdict of $61,000,000 in 2025. Case type: Car Accidents, Dram Shop Liability, Motor Vehicle Accidents, Product Liability. Reported as Moreno, et al. v. Honda Dev. & Mfg. of America LLC. Listed by TopVerdict.",TopVerdict
Estate of Olivas v. Faaborg,California,Los-angeles,2025,Car Accident,Wrongful Death,verdict,38774366,"California verdict of $38,774,366 in 2025. Case type: Motor Vehicle Accidents, Personal Injury, Wrongful Death, Burn Injury. Reported as Estate of Olivas v. Faaborg. Listed by TopVerdict.",TopVerdict
McAlister v. Thompson,California,,2025,Car Accident,Traumatic Brain Injury,verdict,36420461,"California verdict of $36,420,461 in 2025. Case type: Car Accidents, Motor Vehicle Accidents, Personal Injury, Brain Injury. Reported as McAlister v. Thompson. Listed by TopVerdict.",TopVerdict
Palmdale T-Bone Collision,California,,2025,Car Accident,Back Injury,verdict,36400000,Woman injured in T-bone collision when defendant failed to yield at stop sign. Suffered traumatic hemoperitoneum and chronic pain. Award included $25M for future noneconomic damages.,News
"Rodriguez v. State of California, et al.",California,,2025,Car Accident,Traumatic Brain Injury,verdict,32868693,"California verdict of $32,868,693 in 2025. Case type: Car Accidents, Government Negligence, Motor Vehicle Accidents, Negligence in Employment. Reported as Rodriguez v. State of California, et al.. Listed by TopVerdict.",TopVerdict
,California,,2025,Car Accident,Spinal Cord Injury,verdict,32800000,Rear-end collision in Los Angeles causing traumatic brain and spinal cord injuries.,News
"Booth v. Delano, et al.",California,,2025,Car Accident,Back Injury,verdict,32500000,"California verdict of $32,500,000 in 2025. Case type: Car Accidents, Motor Vehicle Accidents, Personal Injury, Multi-Vehicle Accidents. Reported as Booth v. Delano, et al.. Listed by TopVerdict.",TopVerdict
Lancaster Multi-Car Crash,California,Los Angeles,2025,Car Accident,Spinal Cord Injury,verdict,32500000,"Woman injured when two vehicles collided, sending them into her path. She swerved, struck the median, and rolled her vehicle, requiring spinal fusion surgery.",News
Tanaka v. Faaborg,California,,2025,Car Accident,Burns,verdict,30774365,"California verdict of $30,774,365 in 2025. Case type: Car Accidents, Motor Vehicle Accidents, Personal Injury, Burn Injury. Reported as Tanaka v. Faaborg. Listed by TopVerdict.",TopVerdict
"Van Tussenbrook v. Yamaha Motor Corp, et al.",California,,2025,Car Accident,Spinal Cord Injury,verdict,26333477,"California verdict of $26,333,477 in 2025. Case type: Motor Vehicle Accidents, Personal Injury, Product Liability, Defective Product. Reported as Van Tussenbrook v. Yamaha Motor Corp, et al.. Listed by TopVerdict.",TopVerdict
"Plaintiff v. Aviation Co., et al.",Texas,,2025,Car Accident,Traumatic Brain Injury,settlement,23000000,"Texas settlement of $23,000,000 in 2025. Case type: Aviation Accidents, Personal Injury, Brain Injury, Emotional Distress. Reported as Plaintiff v. Aviation Co., et al.. Listed by TopVerdict.",TopVerdict
,Mississippi,Harrison,2025,Car Accident,Other,verdict,18422935,"Mississippi jury verdict of $18,422,935 in Harrison County, reported as Auto Negligence.",Mississippi Jury Verdict Reporter
,Louisiana,Iberville,2025,Car Accident,Other,verdict,18422935,"Louisiana jury verdict of $18,422,935 in Iberville Parish, reported as Auto Negligence.",Louisiana Jury Verdict Reporter
Paper v. City of Los Angeles,California,Los-angeles,2025,Car Accident,Traumatic Brain Injury,settlement,18000000,"California settlement of $18,000,000 in 2025. Case type: Car Accidents, Government Negligence, Motor Vehicle Accidents, Personal Injury. Reported as Paper v. City of Los Angeles. Listed by TopVerdict.",TopVerdict
Echevarria family v. Collins,Nevada,Clark,2025,Car Accident,Wrongful Death,verdict,15000000,"Wrongful death verdict for the wife and son of Eric Echevarria, 52, killed in December 2020 when a driver traveling approximately 88 to 90 mph in a 35 mph zone near Fort Apache Road and Blue Diamond Road struck his car. The driver, a former college basketball recruit, had pleaded guilty criminally to reckless driving resulting in death and vehicular manslaughter. Clark County jury found negligence in May 2025 but declined punitive damages.",Las Vegas Review-Journal
Ecio Rodrigues v. Matthew Anderson and Joshua Anderson,Florida,,2025,Car Accident,Traumatic Brain Injury,verdict,15000000,Car Accident jury verdict of $15 million in Florida.,CourtListener
Kuhn v. USAA (underlying I-15 rear-end crash),Nevada,Clark,2025,Car Accident,Traumatic Brain Injury,verdict,14000000,"Compensatory award for a 2018 rear-end crash on I-15 in Las Vegas: Timothy Kuhn, stationary in traffic, was struck from behind and suffered a brain injury with concussion, neck and back injuries. The other driver was found 100 percent at fault; Kuhn's own uninsured motorist insurer delayed payment for years, and the same Clark County jury in January 2025 added $100 million in punitive damages against the insurer for bad faith (punitive award not included in this amount).",Courtroom View Network trial coverage
"Payne v. City of Houston, et al.",Texas,,2025,Car Accident,Wrongful Death,verdict,13000000,"Texas verdict of $13,000,000 in 2025. Case type: Car Accidents, Civil Rights Violation, Government Negligence, Motor Vehicle Accidents. Reported as Payne v. City of Houston, et al.. Listed by TopVerdict.",TopVerdict
TruGreen Truck Collision,Washington,,2025,Car Accident,Spinal Cord Injury,verdict,12741034,"Father and 12-year-old son injured when TruGreen truck failed to yield. Father suffered severe spinal injuries, son sustained a fractured femur.",News
Mungia v. County of San Bernardino,California,,2025,Car Accident,Back Injury,settlement,12700000,"California settlement of $12,700,000 in 2025. Case type: Car Accidents, Government Negligence, Motor Vehicle Accidents, Personal Injury. Reported as Mungia v. County of San Bernardino. Listed by TopVerdict.",TopVerdict
Estate v. Driver & Product Manufacturers,Texas,,2025,Car Accident,Wrongful Death,settlement,10580000,"Texas settlement of $10,580,000 in 2025. Case type: Motor Vehicle Accidents, Product Liability, Underinsured Motorist, Wrongful Death. Reported as Estate v. Driver & Product Manufacturers. Listed by TopVerdict.",TopVerdict
,Indiana,Marion,2025,Car Accident,Other,verdict,10500000,"Indiana jury verdict of $10,500,000 in Marion County, reported as Auto Negligence.",Indiana Jury Verdict Reporter
Mullaly v. Oakwood Worldwide LP,California,,2025,Car Accident,Back Injury,verdict,10024171,"California verdict of $10,024,171 in 2025. Case type: Car Accidents, Motor Vehicle Accidents, Personal Injury, Vicarious Liability. Reported as Mullaly v. Oakwood Worldwide LP. Listed by TopVerdict.",TopVerdict
,Indiana,Marion,2025,Car Accident,Other,verdict,10000000,"Indiana jury verdict of $10,000,000 in Marion County, reported as Auto Negligence.",Indiana Jury Verdict Reporter
Plaintiff v. Commercial Vehicle Driver,Texas,,2025,Car Accident,Traumatic Brain Injury,settlement,9500000,"Texas settlement of $9,500,000 in 2025. Case type: Motor Vehicle Accidents, Personal Injury, Brain Injury, Nonfatal Bodily Injury. Reported as Plaintiff v. Commercial Vehicle Driver. Listed by TopVerdict.",TopVerdict
,Louisiana,Lafayette,2025,Car Accident,Other,verdict,9141750,"Louisiana jury verdict of $9,141,750 in Lafayette Parish, reported as Auto Negligence.",Louisiana Jury Verdict Reporter
"La Barrie v. Silva, et al.",California,,2025,Car Accident,Wrongful Death,verdict,9000000,"California verdict of $9,000,000 in 2025. Case type: Car Accidents, Motor Vehicle Accidents, Wrongful Death, Impaired Driving Accidents. Reported as La Barrie v. Silva, et al.. Listed by TopVerdict.",TopVerdict
"Gomez-Garcia v. Gallegos, et al.",California,,2025,Car Accident,Traumatic Brain Injury,verdict,8569756,"California verdict of $8,569,756 in 2025. Case type: Car Accidents, Motor Vehicle Accidents, Personal Injury, Brain Injury. Reported as Gomez-Garcia v. Gallegos, et al.. Listed by TopVerdict.",TopVerdict
"Aslam v. Bardosh, et al.",California,,2025,Car Accident,Traumatic Brain Injury,settlement,8000000,"California settlement of $8,000,000 in 2025. Case type: Car Accidents, Government Negligence, Motor Vehicle Accidents, Personal Injury. Reported as Aslam v. Bardosh, et al.. Listed by TopVerdict.",TopVerdict
Municipal Truck Collision,New York,Westchester,2025,Car Accident,Back Injury,verdict,8000000,$8.0 million jury verdict in a car accident case in New York . The plaintiff sustained back injury and was awarded damages.,News
Mullaly v. Oakwood Worldwide LP,California,,2025,Car Accident,Back Injury,settlement,7500000,"California settlement of $7,500,000 in 2025. Case type: Car Accidents, Motor Vehicle Accidents, Personal Injury, Vicarious Liability. Reported as Mullaly v. Oakwood Worldwide LP. Listed by TopVerdict.",TopVerdict
"Nocera v. Ned S. Mekhail, et al.",New York,,2025,Car Accident,Back Injury,settlement,7500000,"New York settlement of $7,500,000 in 2025. Case type: Car Accidents, Motor Vehicle Accidents, Negligence in Employment, Personal Injury. Reported as Nocera v. Ned S. Mekhail, et al.. Listed by TopVerdict.",TopVerdict
Appleton v. National Union Fire Insurance Company,Massachusetts,,2025,Car Accident,Multiple Injuries,verdict,7465000,"Jury verdict of $7,465,000 arising from a rear-end motor vehicle collision after the insurer had offered $2.65 million. The First Circuit reinstated the plaintiff's Chapter 93A bad-faith claim on July 29, 2025 and remanded it for trial. NOT FINAL as to the 93A claim: no multiplied judgment has been entered.",Agency Checklists
,Tennessee,Shelby,2025,Car Accident,Other,verdict,7278171,"Tennessee jury verdict of $7,278,171 in Shelby County, reported as Auto Negligence.",Tennessee Jury Verdict Reporter
Randall v. McKenzie et al,Louisiana,Caddo,2025,Car Accident,Traumatic Brain Injury,verdict,6341479,"Louisiana jury verdict of $6,341,479 in Caddo Parish (2025).",Louisiana Jury Verdict Reporter
,South Carolina,,2025,Car Accident,Other,settlement,6250000,$6.25 million settlement; head-on DUI crash severely injures two. Action: Motor vehicle negligence Injuries alleged: Catastrophic physical injuries Case name: Withheld Court/case no.: Withheld Jury and/or judge: Withheld Amount: $6.25 million Date: Withheld Attorneys: John Dodds IV of Yarborough,South Carolina Lawyers Weekly
Gontarczyk v. ABC Corp.,New York,,2025,Car Accident,Back Injury,settlement,6000000,"New York settlement of $6,000,000 in 2025. Case type: Motor Vehicle Accidents, Personal Injury, Nonfatal Bodily Injury, Spinal Injury. Reported as Gontarczyk v. ABC Corp.. Listed by TopVerdict.",TopVerdict
